12	64972	5517	1	0
16	64972	7743	1	0
34	64972	7985	1	0
17	64972	3543	1	0
33	64972	5494	1	0
26	64972	8723	1	0
47	64972	8599	1	0
1	64972	5557	1	0
42	64972	2478	1	0
49	64972	8794	1	0
39	64972	11551	1	0
34	64972	8560	1	0
10	64972	13346	1	0
34	64972	12737	1	0
9	64972	8946	1	0
2	64972	6774	1	0
17	64972	7558	1	0
47	64972	7359	1	0
40	64972	7551	1	0
39	64972	5544	1	0
1	64972	4607	1	0
31	64972	3660	1	0
32	64972	5299	1	0
27	64972	8956	1	0
17	64972	3452	1	0
13	64972	16521	1	0
31	64972	14573	1	0
39	64972	13251	1	0
41	64972	4236	1	0
43	64972	5847	1	0
22	64972	4797	1	0
28	64972	10722	1	0
7	64972	6806	1	0
3	64972	8005	1	0
11	64972	6195	1	0
11	64972	7780	1	0
2	64972	5729	1	0
46	64972	7480	1	0
9	64972	2756	1	0
31	64972	11668	1	0
45	64972	8783	1	0
1	64972	8909	1	0
44	64972	8927	1	0
38	64972	2299	1	0
29	64972	2765	1	0
11	64972	6817	1	0
41	64972	2265	1	0
36	64972	2507	1	0
46	64972	6194	1	0
4	64972	13931	1	0
15	64972	10951	1	0
18	64972	16448	1	0
19	64972	3178	1	0
12	64972	4993	1	0
35	64972	7765	1	0
48	64972	2579	1	0
8	64972	11704	1	0
28	64972	4542	1	0
3	64972	6123	1	0
2	64972	4675	1	0
42	64972	4337	1	0
36	64972	6160	1	0
31	64972	3890	1	0
36	64972	3538	1	0
41	64972	5683	1	0
3	64972	3894	1	0
29	64972	8610	1	0
8	64972	10775	1	0
17	64972	13675	1	0
1	64972	16741	1	0
3	64972	16733	1	0
29	64972	13449	1	0
20	64972	4920	1	0
14	64972	17133	1	0
18	64972	9648	1	0
1	64972	17315	1	0
12	64972	7150	1	0
45	64972	11368	1	0
1	64972	10975	1	0
33	64972	13403	1	0
43	64972	8067	1	0
22	64972	6016	1	0
32	64972	10974	1	0
23	64972	4219	1	0
20	64972	6095	1	0
25	64972	7097	1	0
10	64972	3500	1	0
17	64972	5857	1	0
35	64972	9425	1	0
26	64972	7901	1	0
7	64972	2994	1	0
13	64972	7749	1	0
45	64972	6241	1	0
18	64972	2747	1	0
27	64972	9996	1	0
44	64972	5042	1	0
29	64972	7157	1	0
48	64972	4899	1	0
33	64972	7736	1	0
34	64972	5576	1	0
50	64972	13576	1	0
44	64972	15682	1	0
10	64972	5940	1	0
7	64972	5749	1	0
16	64972	12457	1	0
1	64972	9163	1	0
21	64972	9068	1	0
23	64972	15440	1	0
39	64972	15350	1	0
42	64972	9790	1	0
35	64972	4636	1	0
8	64972	3874	1	0
16	64972	9229	1	0
30	64972	6207	1	0
8	64972	6699	1	0
20	64972	3575	1	0
49	64972	11665	1	0
41	64972	3333	1	0
6	64972	8019	1	0
50	64972	3173	1	0
24	64972	1938	1	0
